,Learning rates,Number of leaf nodes,Number of trees,MSE
532,0.06736842105263158,33.0,64.0,76258.2780260947
533,0.06736842105263158,33.0,69.0,75592.06933487528
534,0.06736842105263158,33.0,75.0,79791.20241685757
535,0.06736842105263158,33.0,80.0,76786.49996368834
536,0.06736842105263158,33.0,85.0,73460.10413228892
537,0.06736842105263158,33.0,90.0,76992.6249597621
538,0.06736842105263158,33.0,96.0,76482.43617709367
539,0.06736842105263158,33.0,101.0,71484.10663392412
540,0.06736842105263158,38.0,1.0,125907.15283215232
541,0.06736842105263158,38.0,6.0,77811.02796462885
542,0.06736842105263158,38.0,12.0,79949.72446004784
543,0.06736842105263158,38.0,17.0,72970.43721844583
544,0.06736842105263158,38.0,22.0,67903.21116740501
545,0.06736842105263158,38.0,27.0,58731.170995496344
546,0.06736842105263158,38.0,33.0,68660.13318848092
547,0.06736842105263158,38.0,38.0,69619.57463008427
548,0.06736842105263158,38.0,43.0,70718.48412243288
549,0.06736842105263158,38.0,48.0,72243.59460853407
550,0.06736842105263158,38.0,54.0,73576.27754640534
551,0.06736842105263158,38.0,59.0,69926.57722200813
552,0.06736842105263158,38.0,64.0,69160.37632699072
553,0.06736842105263158,38.0,69.0,66724.10623766322
554,0.06736842105263158,38.0,75.0,68465.4447907276
555,0.06736842105263158,38.0,80.0,67892.49154567585
556,0.06736842105263158,38.0,85.0,66975.1918610688
557,0.06736842105263158,38.0,90.0,69579.05902006084
558,0.06736842105263158,38.0,96.0,67176.61748743187
559,0.06736842105263158,38.0,101.0,63827.094045285405
560,0.06736842105263158,44.0,1.0,124024.48791034071
561,0.06736842105263158,44.0,6.0,80233.45476633513
562,0.06736842105263158,44.0,12.0,74419.03912735004
563,0.06736842105263158,44.0,17.0,62110.56545264849
564,0.06736842105263158,44.0,22.0,64912.32975911233
565,0.06736842105263158,44.0,27.0,70305.31474439777
566,0.06736842105263158,44.0,33.0,65917.60742958687
567,0.06736842105263158,44.0,38.0,57923.983600260435
568,0.06736842105263158,44.0,43.0,61502.91202635304
569,0.06736842105263158,44.0,48.0,62873.475731693135
570,0.06736842105263158,44.0,54.0,62653.33082234084
571,0.06736842105263158,44.0,59.0,63643.69117286186
572,0.06736842105263158,44.0,64.0,63668.47316562396
573,0.06736842105263158,44.0,69.0,57808.823436831786
574,0.06736842105263158,44.0,75.0,60088.41151682253
575,0.06736842105263158,44.0,80.0,62654.81976140455
576,0.06736842105263158,44.0,85.0,63303.61995501943
577,0.06736842105263158,44.0,90.0,58377.65767749528
578,0.06736842105263158,44.0,96.0,56262.78831064557
579,0.06736842105263158,44.0,101.0,58439.71566181285
580,0.06736842105263158,49.0,1.0,146305.66549450476
581,0.06736842105263158,49.0,6.0,80826.61723144754
